Term,Definition
applicant,"inventor or joint inventors who are applying for a patent on their own invention, or the person mentioned in 37 CFR 1.42, 1.43 or 1.47 who is applying for a patent in place of the inventor.         -- see 37 CFR 1.41 and MPEP 605"
application (patent),"an application for patent filed under 35 U.S.C. 111(a) that includes all types of patent applications (i.e., utility, design, plant, and reissue) except provisional applications. The nonprovisional application establishes the filing date and initiates the examination process. A nonprovisional utility patent application must include a specification, including a claim or claims; drawings, when necessary; an oath or declaration; and the prescribed filing fee.          -- see How to Get a Patent for guides for each type of patent application"
application (trademark),"a document by which a person requests a federal trademark registration. To receive a filing date, an application must include (1) the applicant's name, (2) a name and address for correspondence, (3) a clear drawing of the mark sought to be registered, (4) a list of the goods or services, and (5) the application filing fee.         -- see File a Trademark Application"
application number (patent),the unique number assigned to a patent application when it is filed. The application number includes a two digit series code and a six digit serial number
arbitrary marks,"comprise words that are in common linguistic use but, when used to identify particular goods or services, do not suggest or describe a significant ingredient, quality or characteristic of the goods or services (e.g., APPLE for computers; OLD CROW for whiskey)."
ASEAN,Association of South East Asian Nations
assignment,"a transfer of ownership of a patent application or patent from one entity to another. Record all assignments with the USPTO Assignment Services Division to maintain clear title to pending patent applications and patents.        -- read more about Patent Assignments            -- see Assign a Patent Application or Patent              -- see Search Patent Assignments online"
assignment,"a transfer of ownership of a trademark application or trademark registration from one entity to another. The USPTO recommends recording assignments with the USPTO Assignment Services Division to maintain clear title to pending trademark applications and registrations. For information on how to record an assignment, see Recordation Form Cover Sheet.         -- see Assign a Trademark Application or Registration             -- see Search Trademark Assignments online"
assignee,"the entity that is the recipient of a transfer of a patent application, patent, trademark application or trademark registration from its owner of record (assignor)"
assignor,"the owner of record of  a patent application, patent, trademark application or trademark registration who is transferring (assigning) ownership to another entity (assignee)"
ATO,authority to operate
attorney,"(may be referred to as a practitioner or representative) - an individual who is a member in good standing of the bar of any United States court or the highest court of any State and who is registered to practice before the Office.         -- see 37 CFR Â§ 10.1(c); Â§ 11.6(a); and Â§ 10.14(a) and the searchable online Patent Attorney Agent Roster"
attorney,"(may be referred to as a practitioner or representative) - an individual who is a member in good standing of the bar of any United States court or the highest court of any State and who is registered to practice before the Office.         -- see 37 CFR Â§ 10.1(c); Â§ 11.6(a); and Â§ 10.14(a) and the searchable online Patent Attorney Agent Roster"
benefit claim,"the claiming by an applicant in a nonprovisional application of a benefit of an invention disclosed in a prior-filed copending (under examination at the same time) provisional or nonprovisional application, or international application designating the U.S. for the purposes of securing an earlier-effective filing date for the nonprovisional application.               -- see 35 USC Â§ 119(e), 120, 121 and 365(c) for more"
BIA,business impact analysis
bio-sequence listings,"a document that must be included only if a nucleotide or amino acid sequence is part of the invention. With EFS, paper documents are not required for bio-sequence or subsequent bio-sequence submissions."
blackout period,the period between the date the examining attorney approves the mark for publication and the date of issuance of the Notice of Allowance. The applicant may not file an Allegation of Use during this period.
Boolean,"Boolean logic (named for the British-born Irish mathematician George Boole) is way to express relationships in logic arguments using the following three operators: ""and"", ""or"", ""not"".       The patent search systems use ""AND"", ""OR"", and ""ANDNOT"" as Boolean operators, in combination with parentheses to build nested logical subsets - example: needle ANDNOT ((record AND player) OR sewing), which would return anything with the word ""needle"" in a document as long as it does not also contain the word ""record"" and ""player"" in the same document or the word ""sewing"" in the same document.  . It also uses some symbols such as ""->"" to indicate a range, where you enter the field code and start date, ->, and then the end date - example: ISD/1/1/1995->2/14/1995.     -- see  help for patent searches for more on how to use Boolean operators in a patent search"
BPAI,Board of Patent Appeals and Interferences
BPAIIS,Board of Patent Appeals and Interferences Information System
BRM,"business reference model - an organized, hierarchical way to describe the day-to-day business   operations of the Federal government; this model presents the   business using a functionally driven approach regardless of organizational structure.     -- see Federal Enterprise Architecture for more"
BRM,"business reference model - an organized, hierarchical way to describe the day-to-day business   operations of the Federal government; this model presents the   business using a functionally driven approach regardless of organizational structure.     -- see Federal Enterprise Architecture for more"
C&A,certification and accreditation
cancellation proceeding,a proceeding before the Trademark Trial and Appeal Board in which the plaintiff seeks to cancel an existing registration of a mark. The proceeding may only be filed after issuance of a registration. A petition for cancellation may be filed by any person who believes that he or she is or will be damaged by the registration of the mark.
canceled,"trademark registration is no longer active. It may be due to the registrant's failure to file the required continued use affidavit under Section 8 of the Trademark Act, to a cancellation proceeding at the Trademark Trial and Appeal Board orÂ to the outcome of a civil court action."
canceled claim,"A claim that is canceled or deleted. ""Canceled"" is the status identifier that should be used when a claim is canceled in an application"
CD,"a type of form designation such as Form CD435, meaning a Commerce Department form"
CD,a compact disc (electronic data storage media)
CEAR,Certificate of Excellence in Accountability Reporting
certificate of mailing,"a certificate for each piece of correspondence mailed, prior to the expiration of the set period of time for response, stating the date of deposit with the U.S. Postal Service and including a signature"
certificate of registration,official document from the USPTO evidencing that a mark has been registered.
certification mark,"any word, name, symbol, device, or any combination, used, or intended to be used, in commerce by someone other than its owner, to certify regional or other origin, material, mode of manufacture, quality, accuracy, or other characteristics of such person's goods or services, or that the work or labor on the goods or services was performed by members of a union or other organization.       -- see File Certification Mark"
CFC,"Combined Federal Campaign       an annual government-wide campaign for charitable contributions from Federal employees"
CFO/CAO,Chief Financial Officer/Chief Administrative Officer
CFR,"Code of Federal Regulations    -- see MORE INFO"
CFS,core financial system
change of name,"Sometimes, owners of trademark applications and registrations change their names, even though the actual ownership of the application or registration has not been transferred. When this occurs, trademark owners should record the name change with the USPTO Assignment Branch to maintain a clear record of ownership. Name changes are recorded in the same manner as assignments. For information on how to record an assignment, -- see Recordation Form Cover Sheet."
Chapter I,"the first, mandatory phase under the Patent Cooperation Treaty that includes performance of an international-type search, issuance of an International Search Report, and publication of the application and Search Report by the International Bureau of WIPO"
Chapter II,"the second, optional phase under the Patent Cooperation Treaty that includes examination of the international application and issuance of an International Preliminary Examination Report."
CIO,Chief Information Officer
CIP,"Continuation-in-Part      an application filed during the lifetime of an earlier nonprovisional application, repeating some substantial portion or all of the earlier nonprovisional application and adding matter not disclosed in the earlier nonprovisional application       -- see MPEP 201.08 for more"
CIS,customer information system
claims,"define the invention and are what aspects are legally enforceable. The specification must conclude with a claim particularly pointing out and distinctly claiming the subject matter which the applicant regards as his invention or discovery. The claim or claims must conform to the invention as set forth in the remainder of the specification and the terms and phrases used in the claims must find clear support or antecedent basis in the description so that the meaning of the terms in the claims may be ascertainable (clearly understood ) by reference to the description. (See 37 CFR Â§ 1.58(a)).       -- see MPEP 608.01(i) for more"
classification,"patents are classified (organized) in the U.S. by a system using a 3 digit class and a 3 digit subclass to describe every similar grouping of patent art. A single invention may be described by multiple classification codes.      -- see Manual of Patent Classification"
classification of goods and services,"Goods and services are classified by an international system, according to international treaties to which the United States is a signatory. All goods and services included in trademark applications are classified by the Office according to this system.       -- see TMEP 1401 for more information on the classification of goods and services      -- see the Trademark Acceptable Identification of Goods and Services Manual for a listing of the classes"
coinventor,"an inventor who is named with at least one other inventor in a patent application, wherein each inventor contributes to the conception (creation) of the invention set forth in at least one claim in a patent application.      -- see MPEP 2137.01, also joint application, joint inventor."
collective mark,"a trademark or service mark used, or intended to be used, in commerce, by the members of a cooperative, an association, or other collective group or organization, including a mark that indicates membership in a union, an association, or other organization.      -- see File a Collective Mark"
combination patent,a patent granted for an invention that unites existing components in a novel way
common inventor,"an inventor whose name is listed on multiple patent applications or granted patents, making the inventions at least partially the work of the same person."
common law rights,"property or other legal rights that do not absolutely require formal registration in order to enforce them. Proving such rights for a trademark in court can be very difficult, requires meticulous documentation, and places a heavy burden on the individual. Active Federal registration of trademark can provide a higher degree of legal protection and readily-demonstrated evidence of ownership of a mark."
composed of,"(used when defining the scope of a claim)        A transitional phrase that is interpreted in the same manner as either ""consisting of"" or ""consisting essentially of,"" depending on the facts of the particular case (context)       -- see MPEP 2111.03 for more"
comprising,"(used when defining the scope of a claim)       A transitional phrase that is synonymous with (means the same thing as) ""including,"" ""containing"" or ""characterized by;"" is inclusive or open-ended and does not exclude additional, unrecited elements or method steps. Comprising is a term of art used in claim language which means that the named elements are essential in describing the invention.      -- see MPEP 2111.03 for more"
concept,an idea or design
confirmation number,"a four-digit number that is assigned to each newly filed patent application. The confirmation number, in combination with the application number, is used to verify the accuracy of the application number placed on correspondence filed with the Office to avoid misidentification of an application due to a transposition error (misplaced digits) in the application number. The Office recommends that applicants include the application's confirmation number (in addition to the application number) on all correspondence submitted to the Office concerning the application.      -- see MPEP 503 for more"
conflicting marks,see likelihood of confusion
CONFU,"Conference on Fair Use       -- see National Information Infrastructure Report on Intellectual Property Rights for more"
consisting essentially of,"A transitional phrase that limits the scope of a claim to the specified materials or steps and  those that do not materially affect the basic and novel characteristics of the claimed invention.       For the purposes of searching for and applying prior art under 35 U.S.C. 102 and 103, absent (without) a clear indication in the specification or claims of what the basic and novel characteristics actually are, ""consisting essentially of"" will be construed (understood) as equivalent to ""comprising.""      -- see MPEP 2111.03 for more"
consisting of,"a transitional phrase that is closed (only includes exactly what is stated) and excludes any element, step, or ingredient not specified in the claim.      -- see MPEP 2111.03 for more"
contracting party,A country or intergovernmental organization that is a member of the Madrid Protocol.
Contracting State,a national Office or an intergovernmental organization which is party to the Patent Cooperation Treaty.
continuation,"a second application for the same invention claimed in a prior nonprovisional application and filed before the first application becomes abandoned or  patented     -- see MPEP 201.07 for more"
continued use,-- see Section 8 Declaration of Continued Use
continuing application,"a continuation, divisional, or continuation-in-part patent application"
Control No.,"unique number assigned to a patent reexamination request when it is filed, having a 2-digit series code (90 for ex parte reexamination requests; 95 for inter partes reexamination requests), and a 6-digit control number."
copyrights,"protect works of authorship, such as writings, music, and works of art that have been tangibly expressed. The Library of Congress  registers copyrights which last for the life of the author plus 70 years.      -- see Copyrights for more      As a work of the United States Government, this glossary falls under the provisions of 17 U.S.C. Â§ 403, which requires that works including all or part of this material in a copyrighted work contain a statement in their copyright that clearly identifies what portions of the work consist of a work of the U.S. Government. Failure to do so could result in loss of copyright protection for the entire work.       -- see Editorial Standards for more"
COTS,"commercial off-the-shelf     an acquisition term refering to commercially available ready to use products that require no customization in order to meet performance requirements."
counterpart,"an application filed in a foreign patent office that is  substantially similar to (like)  the patent application filed with the USPTO and is based upon some or all of the same invention. The two applications would generally have the same applicant.     -- see 37 CFR 1.97 for more"
CPA,"Continued Prosecution Application       a continuation or divisional application filed in a design application under 37 CFR 1.53(d)* -- see MPEP 201.06(d) for more      * NOTE: CPAs may no longer be filed in utility and plant patent applications, effective 14 July 2003.       -- see 1271 OG 43, 24 June 2003."
CPIC,"capital planning and investment control     Envisioned in the Clinger-Cohen Act of 1996, OMB Circular A-130 (Management of Federal Information Resources) and other related guidance, this is a management process for ongoing identification, selection, control, and evaluation of investments in information resources. The process links budget formulation and execution, and is focused on agency missions and achieving specific program outcomes."
CRF,Computer Readable Format
CRU,Central Reexamination Unit
CSR,Customer Service Representative
CSS,Cascading Style Sheet - a technology used for webpages to format  fonts and control layouts on the computer display.
current filing basis,"In applications under Â§Â§1 and 44 of the Trademark Act, the applicant may claim more than one basis, and may add or substitute a basis after filing the application. The â€œcurrent filing basisâ€ù means the basis, as amended (changed after the initial or original filing). If the basis has not been amended, the current filing basis is the same as the original filing basis.    -- see filing basis"
customer number,"(previously referred to as ""payor number"") - a number assigned by the Office that is used to simplify the submission of an address change, to appoint a practitioner, or to designate the fee address for a patent. Customer numbers are primarily used by attorneys and law firms, and must be requested using the ""Request for Customer Number"" form (PTO/SB/125).     -- see 37 CFR Â§ 1.33(a), 1.76 and MPEP 403 for more"
customer number,"(previously referred to as ""payor number"") - a number assigned by the Office that is used to simplify the submission of an address change, to appoint a practitioner, or to designate the fee address for a patent. Customer numbers are primarily used by attorneys and law firms, and must be requested using the ""Request for Customer Number"" form (PTO/SB/125).     -- see 37 CFR Â§ 1.33(a), 1.76 and MPEP 403 for more"
dead,"a dead or abandoned status for a trademark application means that specific application is no longer under prosecution within the USPTO, and would not be used as a bar against your filing. It does not necessarily mean that there are not other marks that the trademark examining attorney would cite. It is also possible to revive an abandoned application (for example, if the USPTO declared the application abandoned for failure of the applicant to respond to an Office action, but the applicant later proved that a response was sent and the USPTO simply failed to match it with the file in a timely manner, then the case could be revived). Also, regardless of the status of an application within the USPTO, the owner may still claim common law rights, i.e, the mark may still be in use in commerce."
deceased inventor,"a named inventor who has died prior to the filing of a patent application or during the prosecution of a patent application.     -- see 37 CFR 1.42 and MPEP 409"
declaration,"a document in which an applicant for patent declares, under penalty of fine or imprisonment, or both (18 USC 1001), that (1) he or she is the original or sole inventor, (2) shall state of what country he or she is a citizen, (3) that he or she has reviewed and understands the contents of the specification and claims which the declaration refers to, and (4) acknowledges the duty to disclose information that is material to patentability as defined by 37 CFR Â§ 1.56. An oath or declaration must be filed in each nonprovisional patent application.       -- see oath; 35 USC Â§ 115; 37 CFR Â§Â§ 1.63 - 1.69; MPEP 602 and the PTO/SB/01 form for more"
Demand,"Form PCT/IPEA/401, filed with an International Preliminary Examining Authority, demanding that an international application shall be the subject of an international preliminary examination."
dependent claim,a claim that refers back to (depends on) and further limits a preceding dependent or independent claim. A dependent claim shall include every limitation of the claim from which it depends.
deposit account,"an account that is established in the U.S. Patent and Trademark Office (USPTO), upon payment of a fee for establishing such an account, for the convenience in paying any fees due, in ordering services offered by the USPTO, copies of records, etc.     --see MPEP 509.01 for more or view deposit accounts"
descriptive mark,"A mark is considered merely descriptive if it describes an ingredient, quality, characteristic, function, feature, purpose or use of the specified goods or services. If a mark is merely descriptive or deceptively misdescriptive of the goods or services to which it relates, the mark will be refused registration on the Principal Register under Â§2(e)(1) of the Trademark Act, 15 U.S.C. Â§1052(e)(1).       Examples of descriptive marks include: MEDICAL GUIDE for website services featuring medical guides, DENIM for jeans, and SPICY SAUCE for salsa.      -- see TMEP Â§1209 for more info"
Design Search Code Manual,"lists the numerical codes for searching designs in the USPTOâ€™s trademark database (TESS).      -- see Design Search Code Manual"
design patent application,"an application for a patent to protect against the unauthorized use of new, original, and ornamental designs for articles of manufacture     -- see also  application (patent)       -- see also nonprovisional patent application"
design patent,"may be granted to anyone who invents a new, original, and ornamental design for an article of manufacture    -- see also patent"
designation,"an indication made by applicant, in the Request for an International Application filed under the Patent Cooperation Treaty, as to the Contracting States in which protection for an invention is desired."
DHCP,dynamic host configuration protocol
DiD,defense in depth - multiple layers of security to provide added protection to IT resources
disclaimer,"A patentee, whether of the whole or any sectional interest therein, may, on payment of the  fee required by law, make disclaimer (give up all or part of the owner's rights to enforce claims) of any complete claim , stating therein the extent of their interest in such patent. Such disclaimers are required to be in writing and recorded in the USPTO, and are considered as part of the original patent to the extent of the interest actually possessed by the disclaimant and by those claiming under him. Any patentee or applicant may disclaim or dedicate to the public the entire term, or any terminal part of the term (from a certain point in time through the projected end of the entire term), of the patent granted or to be granted. There are two types of disclaimers: a statutory disclaimer and a terminal disclaimer.       -- see MPEP 1490 for more"
disclaimer,"a statement that the applicant or registrant does not claim the exclusive right to use a specified element or elements of the  mark. The purpose of a disclaimer is to permit the registration of a mark that is registrable as a whole but contains matter that would not be registrable standing alone, without creating a false impression of the extent of the registrantâ€™s right with respect to certain elements in the mark."
disclosure,"in return for a patent, the inventor gives as consideration a complete revelation (describes it) or disclosure  of the invention for which protection is sought.     -- see MPEP 608 for more"
disclosure document,"The USPTO eliminated its Disclosure Document Program on February 1, 2007. For more information, see the Federal Register notice: http://www.uspto.gov/web/offices/com/sol/notices/71fr64636.pdf [PDF].      A document disclosing an invention, and signed by the inventor or inventors, that is forwarded to the USPTO only as evidence of the date of conception of the invention. The disclosure document may be forwarded to the USPTO by the inventor (or by any one of the inventors when there are joint inventors), by the owner of the invention, or by the attorney or agent of the inventor(s) or owner. A disclosure document is not the only type (and not necessarily the best type) of evidence of the date of conception of an invention. Notarized records or a conventional, witnessed, permanently bound, and page-numbered laboratory notebook may also serve as evidence of the date of conception of an invention.       A Disclosure Document will be retained for two years, and then be destroyed unless it is referred to in a separate letter in a related patent application filed within those two years. A Disclosure Document is not a patent application, and the date of its receipt in the USPTO will not become the effective filing date of any patent application subsequently filed.       -- see MPEP 1706 and  the disclosure document program for more        Filers after 01FEB2007: see provisional patent application"
divisional application,"a later application for an independent or distinct invention disclosing and claiming (only a portion of and) only subject matter disclosed in the earlier or parent application.     --see MPEP 201.06 for more"
DNS,domain naming service
DO,"Designated Office      the national Office or intergovernmental organization of or acting for the Contracting State designated by the applicant under Chapter I of the Patent Cooperation Treaty."
DOC,Department of Commerce
docket,a list of cases (applications) awaiting office actions
doctrine of equivalents,"a judicially created theory for finding patent infringement when the accused process or product falls outside the literal scope of the patent claims. The essential objective inquiry is: â€œDoes the accused product or process contain elements identical or equivalent to each claimed element of the patented invention?â€ù       -- see MPEP 2186 for more"
domestic representative,"a person residing within the United States who is appointed by a patentee or assignee of a trademark application or registration that does not reside in or is not domiciled within the United States. A domestic representative may be served process or notice of proceedings affecting the application, patent or trademark registration, or related rights.      --see 35 USC 293, 37 CFR 3.61 and MPEP 302.02 for more"
drawing,"Patent drawings must show every feature of the invention as specified in the claims. Omission of drawings may cause an application to be considered incomplete but are only required if drawings are necessary for the understanding of the subject matter sought to be patented.      -- see Drawing Requirements for more info"
drawing,see representation of mark
DRM,"data reference model - also known as a ""data and information reference model"" - describes the data and information that support program and line operations. Helps describe the types of interactions that occur between the Federal Government and others. Purpose of a DRM is to establish a commonly understood classification for Federal data that will lead to the   identification of duplicative data resources.    -- see Federal Enterprise Architecture for more"
DTD,"document type definition - a format specification file that accompanies documents prepared according to SGML (standard generalized markup language), including XML (extensible markup language). It lists the tags or structural labelling for each distinctive section of text, images, or other embedded file object (examples: title, author, etc.) so that the document can be easily shared and worked with in different operating environments."
DTD,"document type definition - a format specification file that accompanies documents prepared according to SGML (standard generalized markup language), including XML (extensible markup language). It lists the tags or structural labelling for each distinctive section of text, images, or other embedded file object (examples: title, author, etc.) so that the document can be easily shared and worked with in different operating environments."
EA,enterprise architecture
EAI,enterprise application integration
EAST,Examiner Automated Search Tools - a system used by patent examiners within the USPTO
EBC,"Electronic Business Center  - includes links to Patents EBC and Trademarks EBC      a web page containing hyperlinks to all online systems for conducting electronic commerce with the USPTO"
eComm,electronic commerce portal
e-Commerce,electronic commerce
eDAN,Electronic Desktop Application Navigator
EDS,Enterprise Directory Services
EDW,Enterprise Data Warehouse
EFP,Electronic Filing Partnership
EFS,"Electronic Filing System  (for patent applications)       supports secure electronic filing of Patent application documents via the Internet"
EFS-ABX,Electronic Filing System Ã¯Â¿Â_ Application Body eXtensible Markup Language authoring tool (for patent applications); superceded by EFS-Web
EFS-Web,"Electronic Filing System - web-based filing using PDF files     See About EFS-Web for more"
EFT,Electronic Funds Transfer
e-Gov,electronic government
election (PCT),"an indication made by applicant, in the Demand for an International Application filed under the Patent Cooperation Treaty, as to the Contracting States in which applicant intends to use the results of the international preliminary examination."
electronic file wrapper,"a system that provides a way to access electronic copies of  the correspondence, documents and other pertinent records used in considering a particular case"
element,a discretely claimed component of a patent claim
embodiment,"a manner in which an invention can be made, used, practiced or expressed"
enforceability of patent,"the right of the patent owner to bring an infringement suit against a party who, without permission, makes, uses or sells the claimed invention. The period of enforceability of a patent is the length of the term of the patent plus the six years under the statute of limitations for bringing an infringement action.       -- see 35 USC 286-296"
EO,Elected Office - the national Office or intergovernmental organization of or acting for the Contracting State elected by the applicant under Chapter II of the Patent Cooperation Treaty.
ePAS,"Electronic Patent Assignment System     -- see ePAS"
EPO,European Patent Office
ESD,"Examination Support Document     -- see Guidelines for Examination Support Document (ESD) under Â§ 1.265 [PDF]"
ESTTA,Electronic System for Trademark Trials and Appeals
eTAS,"Electronic Trademark Assignment System     -- see eTAS"
ETC,Emerging Technology Center
ETD,Enterprise Training Division
eTEAS,"electronic Trademark Examination Application System - electronic trademark filing system. It allows the public to complete various trademark filings and transactions on-line. For example, eTEAS allows you to complete trademark applications, preliminary amendments, amendments to allege use/statements of use, responses to Office actions, and post registration filings online, and then submit them directly over the Internet, paying by credit card, electronic funds transfer or an existing USPTO deposit account.       -- see eTEAS"
EU,European Union
examination copy,a copy of an international application filed under the Patent Cooperation Treaty maintained by the International Preliminary Examining Authority.
examiner's amendment,"a written confirmation of an amendment made to a trademark application. The trademark examining attorney assigned to the application will make the amendment after consultation with an applicant or the applicantâ€™s attorney. The examinerâ€™s amendment is merely a written confirmation of the agreement between the examining attorney and the applicant as to the amendment, and it is also a notice that the amendment will be made. The applicant need not respond to the examinerâ€™s amendment unless the applicant wishes to make further changes to the application."
examining attorney,a USPTO employee who examines (reviews and determines compliance with the legal and regulatory requirements of)  an application for registration of a federally registered trademark
excusable nonuse,-- see Section 8 Declaration of Excusable Nonuse
ex parte reexamination,"-- see reexamination proceeding       If the request for ex parte reexamination is filed by a third party and not the patent owner, the third party may not participate in the ex parte proceedings beyond the filing of a reply to the patent owner's statement under 37 CFR Â§ 1.530, if the patent owner files a statement. No other reply or submission by a third party will be considered in ex parte reexamination.       -- see MPEP 2200, 37 CFR Â§Â§ 1.501-1.570 and inter partes reexamination for more"
express abandonment,"A patent application may be expressly abandoned by filing a written declaration of abandonment identifying the application in the United States Patent and Trademark Office. Express abandonment becomes effective when an appropriate official of the Office takes action thereon. Express abandonment of the application may not be recognized by the USPTO before the date of issue or publication unless it is actually received by appropriate officials in time to act. Abandonment may be either of the invention or of an application. An abandoned application, in accordance with 37 CFR 1.135 and 1.138, is one which is removed from the USPTO docket of pending applications.      -- see MPEP 711.01 for more"
expired,Trademark registration is no longer active.  The registrant failed to renew the trademark registration at the end of the registration period.
express mail mailing label,"patent correspondence delivered to the USPTO via the ""Express Mail Post Office to Addressee"" service of the United States Postal Service (USPS) which is considered filed in the Office on the date of deposit with the USPS, shown by the ""date-in"" on the ""Express Mail"" mailing label."
express mail mailing label,"The filing date for Trademark documents is not the same as for patent documents     -- see Trademarks express mail for specific guidance"
extension request,see request for Extension of Time to File a Statement of Use
extension request,see request for Extension of Time to File a Statement of Use
family (patent),see patent family
fanciful marks,"comprise terms that have been invented for the sole purpose of functioning as a trademark or service mark. Such marks comprise words that are either unknown in the language (e.g., PEPSI, KODAK, EXXON) or are completely out of common usage (e.g., FLIVVER)."
FAQ,Frequently Asked Questions
FAS,Foreign Agricultural Service
FASAB,Federal Accounting Standards Advisory Board
FAST,First Action System for Trademarks
Fastener Quality Act,"Fastener Quality Act (15 U.S.C. 5401 et seq., as amended by Public Law 104-113, Public Law 105-234, and Public Law 106-34); implementing regulations: 15 C.F.R. Part 280    Purpose:  Protects against the sale of mismarked, misrepresented, and counterfeit fasteners.    -- see Fastener Quality Act for more"
FDC,"Final Data Capture Once the fee, any correspondence, and/or drawings are matched with the application and all requirements have been met for issuance as a patent, the application is then forwarded to the Final Data Capture (FDC) stage of the process . An â€œIssue Notificationâ€ù would be  the next step in the processing of a patent and is mailed approximately 3 weeks prior to the issue date of the patent."
FEA,"Federal Enterprise Architecture    -- see Federal Enterprise Architecture for more"
fee,"an amount of money charged for a particular service or product supplied by the USPTO.     -- see How to Pay Fees"
FFMIA,Federal Financial Management Improvement Act
FICC,Federal Identity Credentialing Committee
file wrapper,"The folder into which papers for a particular  application are collected and maintained.      It contains a complete record of proceedings in the USPTO from the filing of the initial patent application to the issued patent. The file wrapper of a patent application that is maintained by the Office is the ""official record."""
