Term,Acronym,Definition
Intrinsic Value,,"the value that an investor considers, on the basis of an evaluation or available facts, to be the _true_ or _real_ value that will become the market value when other investors reach the same conclusion. When the term applies to options, it is the difference between the exercise price and strike price of an option and the mar- ket value of the underlying security."
Invested Capital,,"the sum of equity and debt in a business enter- prise. Debt is typically (a) all interest-bearing debt or (b) long-term, interest-bearing debt. When the term is used, it should be supple- mented by a specific definition in the given valuation context."
Invested Capital Net Cash Flows,,those cash flows available to pay out to equity holders (in the form of dividends) and debt investors (in the form of principal and interest) after funding operations of the business enterprise and making necessary capital investments.
Investment Risk,,the degree of uncertainty as to the realization of expected returns.
Investment Value,,the value to a particular investor based on indi- vidual investment requirements and expectations. 
Key Person Discount,,an amount or percentage deducted from the value of an ownership interest to reflect the reduction in value resulting from the actual or potential loss of a key person in a busi- ness enterprise.
Levered Beta,,the beta reflecting a capital structure that includes debt.
Limited Appraisal,,"the act or process of determining the value of a business, business ownership interest, security, or intangible asset with limitations in analyses, procedures, or scope."
Liquidity,,the ability to quickly convert property to cash or pay a lia- bility.
Liquidation Value,,the net amount that would be realized if the business is terminated and the assets are sold piecemeal. Liquidation can be either _orderly_ or _forced._
Majority Control,,the degree of control provided by a majority position.
Majority Interest,,an ownership interest greater than 50% of the voting interest in a business enterprise.
Market Approach,,"a general way of determining a value indication of a business, business ownership interest, security, or intangible asset by using one or more methods that compare the subject to similar businesses, business ownership interests, securi- ties, or intangible assets that have been sold."
Market-Based Approach,,See Market Approach.
Market Capitalization of Equity,,the share price of a publicly traded stock multiplied by the number of shares outstanding.
Market Capitalization of Invested Capital,,the market capitalization of equity plus the market value of the debt component of invested capital.
Market Multiple,,"the market value of a company_s stock or invested capital divided by a company measure (such as economic benefits, number of customers)."
Marketability,,the ability to quickly convert property to cash at minimal cost.
Marketability Discount,,see Discount for Lack of Marketability.
Merger and Acquisition Method,,a method within the market approach whereby pricing multiples are derived from transactions of significant interests in companies engaged in the same or similar lines of business.
Mid-Year Discounting,,"a convention used in the Discounted Future Earnings Method that reflects economic benefits being gen- erated at midyear, approximating the effect of economic benefits being generated evenly throughout the year."
Minority Discount,,a discount for lack of control applicable to a minority interest.
Minority Interest,,an ownership interest less than 50% of the voting interest in a business enterprise.
Multiple,,the inverse of the capitalization rate.
Net Book Value,,"with respect to a business enterprise, the differ- ence between total assets (net of accumulated depreciation, deple- tion, and amortization) and total liabilities as they appear on the balance sheet (synonymous with Shareholder_s Equity). With respect to a specific asset, the capitalized cost less accumulated amortization or depreciation as it appears on the books of account of the business enterprise."
Net Cash Flows,,"when the term is used, it should be supplemented by a qualifier. See Equity Net Cash Flows and Invested Capital Net Cash Flows."
Net Present Value,,"the value, as of a specified date, of future cash inflows less all cash outflows (including the cost of investment) calcu- lated using an appropriate discount rate."
Net Tangible Asset Value,,the value of the business enterprise_s tangible assets (excluding excess assets and nonoperating assets) minus the value of its liabilities.
Nonoperating Assets,,assets not necessary to ongoing operations of the business enterprise. 
Normalized Earnings,,"economic benefits adjusted for nonrecur- ring, noneconomic, or other unusual items to eliminate anomalies and/or facilitate comparisons."
Normalized Financial Statements,,"financial statements adjusted for nonoperating assets and liabilities and/or for nonrecurring, noneconomic, or other unusual items to eliminate anomalies and/or facilitate comparisons."
Orderly Liquidation Value,,liquidation value at which the asset or assets are sold over a reasonable period of time to maximize pro- ceeds received.
Premise of Value,,"an assumption regarding the most likely set of transactional circumstances that may be applicable to the subject val- uation; for example, going concern, liquidation."
Present Value,,"the value, as of a specified date, of future economic benefits and/or proceeds from sale, calculated using an appropriate discount rate."
Portfolio Discount,,an amount or percentage deducted from the value of a business enterprise to reflect the fact that it owns dissimi- lar operations or assets that do not fit well together.
Price/Earnings Multiple,,the price of a share of stock divided by its earnings per share.
Rate of Return,,"an amount of income (loss) and/or change in value realized or anticipated on an investment, expressed as a percentage of that investment."
Redundant Assets,,see Nonoperating Assets.
Report Date,,the date conclusions are transmitted to the client.
Replacement Cost New,,the current cost of a similar new property having the nearest equivalent utility to the property being valued.
Reproduction Cost New,,the current cost of an identical new property.
Required Rate of Return,,the minimum rate of return acceptable by investors before they will commit money to an investment at a given level of risk.
Residual Value,,the value as of the end of the discrete projection period in a discounted future earnings model.
Return on Equity,,"the amount, expressed as a percentage, earned on a company_s common equity for a given period."
Return on Investment,,See Return on Invested Capital and Return on Equity.
Return on Invested Capital,,"the amount, expressed as a percent- age, earned on a company_s total capital for a given period."
Risk-Free Rate,,the rate of return available in the market on an investment free of default risk.
Risk Premium,,a rate of return added to a risk-free rate to reflect risk.
Rule of Thumb,,"a mathematical formula developed from the relationship between price and certain variables based on experience, observation, hearsay, or a combination of these; usually industry specific."
Special Interest Purchasers,,"acquirers who believe they can enjoy post-acquisition economies of scale, synergies, or strategic advan- tages by combining the acquired business interest with their own."
Standard of Value,,"the identification of the type of value being uti- lized in a specific engagement; for example, fair market value, fair value, investment value."
Sustaining Capital Reinvestment,,"the periodic capital outlay required to maintain operations at existing levels, net of the tax shield available from such outlays."
Systematic Risk,,the risk that is common to all risky securities and cannot be eliminated through diversification. The measure of systematic risk in stocks is the beta coefficient.
Tangible Assets,,"physical assets (such as cash, accounts receivable, inventory, property, plant and equipment, etc.)."
Terminal Value,,See Residual Value.
Transaction Method,,See Merger and Acquisition Method. 
Unlevered Beta,,the beta reflecting a capital structure without debt.
Unsystematic Risk,,the risk specific to an individual security that can be avoided through diversification.
Valuation,,"the act or process of determining the value of a business, business ownership interest, security, or intangible asset."
Valuation Approach,,"a general way of determining a value indica- tion of a business, business ownership interest, security, or intangible asset using one or more valuation methods."
Valuation Date,,the specific point in time as of which the valuator_s opinion of value applies (also referred to as _Effective Date_ or _Appraisal Date_).
Valuation Method,,"within approaches, a specific way to determine value."
Valuation Procedure,,"the act, manner, and technique of perform- ing the steps of an appraisal method."
Valuation Ratio,,"a fraction in which a value or price serves as the numerator and financial, operating, or physical data serve as the denominator."
Value to the Owner,,see Investment Value.
Voting Control,,de jure control of a business enterprise.
Weighted Average Cost of Capital ,WACC,"the cost of capital (discount rate) determined by the weighted average, at market value, of the cost of all financing sources in the business enterprise_s capital structure."
