Term,Acronym,Definition
Market value added,MVA,"Total market value of firm (i.e., market values of debt plus equity) minus total capital contributed to the firm.  The total contributed capital is the book value of debt plus the book value of common stock and retained earnings, as shown on the financial statements."
Matching principle,,"The principle that irrespective of when cash payments for costs of producing goods are actually made, the costs cannot be incorporated into income until goods that were produced are sold. "
Net operating profit after taxes,NOPAT,"Operating profit less the taxes due on operating profit.  In the simplest firm, this is EBIT (1-T) where T is the tax rate."
Net profit margin ,,Net income/Sales.
Net working capital,,Current assets minus current liabilities.
Non-linear model ,,A model for projecting a balance sheet or income statement item in such a way that it is not a linear function of sales.
Nonoperating asset,,"An asset that is not used in operations, such as short-term investments, excess cash, or land purchased for speculative purposes."
Operating capital ,,"The amount of money tied up in operating assets, less any operating liabilities."
Operating current assets ,,Short-term assets used in operations.  Doesn_t include excess cash or short-term investments. 
Operating current liabilities,,Short-term liabilities used in operations.  Doesn_t include notes payable.
Operating long-term capital,,"Long-term capital used in operations, such as buildings, equipment, and land."
Operating margin,,EBIT/Sales
Operating profit,,Profit from operations.  Usually EBIT.
Operating profitability,,NOPAT/Sales.  It is the contribution that operations make to the firm_s overall profitability.
Operating working capital ,,Operating current assets less operating current liabilities.
Operations ,,The firm_s activities that are associated with producing and selling goods and services. 
Payout ratio,,Dividends/Net income.
Plant property and equipment,PP&E,Long-term assets owned by the company and used in operations or for administration.
Present value,,The value today of an amount of cash to be received in the future.
Pre-tax margin,,Profit before taxes/Sales.
Price to book ratio ,,Market value of a company_s stock (per share) divided by the book value of equity (per share).
Prime rate,,The rate that banks offer customers with high credit ratings.
Principal ,,The initial amount borrowed in a loan.  Also called the face value.
Pro forma financial statements,,Projected financial statements.
Quick ratio,,(Current assets _ inventory)/Current liabilities.
Rating agency,,"An organization, such as Standard and Poor_s, Fitch, and Moody_s, that analyzes the creditworthiness of companies."
Receivables turnover ,,Receivables/Sales.
Recognition principle,,"A rule employed to determine when to report revenue and costs. Most companies recognize revenue and most costs when the good or service is shipped or delivered, rather than when the cash from sale is received or when production expenses are paid."
Residual dividend,,Dividends are set so that assets are equal to liabilities plus owners equity.
Retained earnings,,"Item on the balance sheet that shows how much stockholders have contributed to the company as the company reinvests (i.e., retains) earnings rather than pays earnings out dividends."
Return on assets,ROA,Net income/Assets
Return on equity,,Net income/Shareholders_ equity.
Return on invested capital ,ROIC,NOPAT/Beginning capital.  A measure of how well the company is doing financially with the assets it uses. Sometimes calculated as NOPAT/Capital if used for performance measures.
Reverse engineer ,,Use of a valuation model to deduce what combinations of assumptions about the firm_s operating performance are consistent with the current market price of the firm_s stock.
Risk averse,,"Investor attitude towards risk.  Investors prefer less risk to more risk, if return is held constant."
Risk free rate,,The rate of return on long-term Treasury securities.
"Selling, general, and administrative expenses ",SGA,"Expenses associated with corporate overhead, advertising, and administration_mostly expenses not directly associated with production."
Sensitivity analysis,,Using a valuation model to see how variation of the assumptions about operating or non-operating performance affects the value of the firm.
Shareholder ,,Someone who owns stock in a company.  The shareholders are the owners of a company.
Short-run projection period,,The period during which projections of operating performance are based on specific plans and circumstances of the firm.
Spread ,,"The difference in yields between two assets.  For example, a bond spread is the difference between the yield on a particular bond and the yield on a Treasury security of the same maturity."
Steady-state period,,"The period of a firm_s existence during which the forces of competition have eroded the ability of the firm to generate extraordinary returns to its investors.  When this period is reached, the growth and profitability performance of the firm will merge with that of other firms in its industry, and ultimately with the performance of the economy at large."
Stock repurchases,,A firm buys back its own stock in order to distribute cash to its shareholders.
Total market value,,Market value of debt plus the market value of equity.
Value based management ,,Managing a company to maximize its value for the shareholders.
Value driver,,"Something that is an important factor in the determination a company_s profitability and value.  For example, sales growth or gross margin."
Value of equity,,"The value of the common stock, sometimes defined as the projected value of the common stock as predicted by the valuation model (intrinsic value), and sometimes, as the market value of the common stock."
Value of nonoperating assets ,,The amount nonoperating assets are worth in the market.
Value of operations ,VOp,The present value of the free cash flows when discounted at the weighted average cost of capital. 
Weighted average cost of capital ,WACC,"The after-tax costs of capital of all of the various sources of financing, weighted by their relative market values:  if there is only debt and equity, then this is WACC = wdrd(1-T) + wsððrs "
Working capital,,Current assets.
Yield ,,The rate of return that an investor would realize on a bond held to maturity.
