Term,Definition
Global evaluation,"A four stage organisational development process evolving from first stage; domestic focus to a fourth stage; global marketing strategy of extension, adaptation and creation of market opportunities."
Global marketing,"Marketing on a worldwide scale reconciling or taking commercial advantage of global operational differences, similarities and opportunities in order to meet global objectives."
Global products,Products designed to meet global market segments.
Gross domestic product (GDP),The value of all goods and services produced by a country's domestic economy in one year.
Gross national product (GNP),The market value of all goods and services outputted by residents of a country in one year including income from aboard.
Hedging,"A mechanism to avoid the risk of a decline in the future market of a commodity, usually by entering into futures markets."
Hierarchy of needs,"The ordering of a person's needs into hierarchy of relative potency such that as lower order needs are fulfilled higher, unfulfilled order needs emerge, which require fulfillment."
High context culture,"Minimum reliance on explicit verbal or written conversations, more on the ""implied""."
Ideology,An individual's organisation or country's political belief.
Income elasticity measurements,A description of the relationship between the demand for goods and changes in income.
Income per capita,The market value of all goods and services outputted by a country divided by the total number of residents of that country.
Inflation,"A condition where demand outstrips supply or costs escalate, affecting an upward change in prices."
Information system,"A system for gathering, analysing and reporting data aimed at reducing uncertainty in business decision making."
Interactive plans,A planning system whereby headquarters sets a policy and framework and subsidiaries interpret these under local conditions.
International monetary fund,"A fund, with world wide country membership, (united nations) which lends money to countries on a short term basis to assist them balance of payments problems."
International product life cycle,"A model which suggest that products go through a cycle whereby high income, mass consumption countries go through a cycle of exporting, loss of exports to final importers of products."
International products,Goods or services seen as having extended potential into other markets.
Joint ventures,An enterprise in which two or more investors share ownership and control over property rights and operations.
Letter of credit,A method of international payment whereby the buyer instructs his own country bank to open a credit with the seller's own country bank specifying the documents which the seller has to deliver to the bank for him/her to receive payment.
Levy,"A tax imposed by government, to meet a specific objective."
Licensing,"A method of foreign operation cooperation whereby an organisation in one country agrees to permit a firm in another country to use the manufacturing, processing, trademark, know-how or some other skill provided by the licensor."
Local products,Goods or services seen only suitable in one single market.
Low context culture,High reliance on explicit verbal or written communications or other explicit format.
Market entry,The way in which an organisation enters foreign markets either by direct or indirect export or production in a foreign country.
Market holding price,The charging of a price at what the market can bear in order to hold market share.
Market positioning,"The adoption of a specific market stance, either leader, challenger, follower, flanker or adopter, vis a vis competition."
Marketing,"Planning, executing and controlling the conception, pricing, promotion and distribution of ideas, goods and services in order to build lasting, mutually profitable exchange relationships satisfying individual and organisational objectives."
Matrix organisation,"A complex form of organisational structure bringing together the competencies of geographic knowledge, product knowledge and know how, and functional competencies - financial, production and marketing - and a knowledge of the customer, industry and its needs."
Media scheduling,A timetable for the allocation of advertising messages in the media over a given time horizon.
Media,"Any paid for communication channel including television, radio, posters etc.."
Mercantilism,A nationalist doctrine of one nation prospering at the expense of another nation.
Message,An informative communication about a product or service placed in a communication channel.
Multinational products Goods or,services adapted to the perceived unique characteristics of national markets.
Multiple factor indices,"A measure of potential demand indirectly using, as proxies, variables that either intuition or statistical analysis suggest can be closely correlated with the potential demand for the product under view."
Nationalism,"The assertion of indigenous culture by an individual, organisation or country."
Non tariff barriers,"Measures, public or private that cause intentionally traded goods or services to be allocated in such a way as to reduce potential real world income."
Option,"A bilateral contract giving its holder the right, but not the obligation to buy or sell a specified asset at a specific price, at or up to, a specific date."
Passive exporter,An organisation which awaits orders or comes across them by choice.
Penetration price,The charging of a low price in order to gain volume sales conducted under conditions of little product uniqueness and elastic demand patterns.
Physical distribution,"The act and functions of physically distributing goods and services including the elements of transport, warehousing and order processing."
Polycentrism,A host country orientation on a subsidiary basis.
Price ceiling,The maximum price which can be charged bearing in mind competition and what the market can bear.
Price escalation,"The difference between the domestic price and the target price in foreign markets due to the application of duties, dealer margins and/or other transaction costs."
Price floor The,minimum price which can be charged bounded by product cost.
Primary data,Unpublished data from individuals or organisations.
Product organisation,A form of international organisational structure whereby executives in functional areas are given global responsibility.
Product strategy,A set of decisions regarding alternatives to the target market and the marketing mix given a set of market conditions.
Product,A good or service offered by an organisation which affords a bundle of benefits both objective (physical) and subjective (image) to a user.
Promotion,"The offer of an inducement to purchase, over and above the intrinsic value or price of a good service."
Purchasing power parity,"The rate at which one unit of currency will purchase the same amount of goods and services as it bought in an equilibrium period, despite differential rates of inflation."
Quota,"A specific imported amount imposed by one country on another, when once filled cannot be exceeded within a given time. When a quota is in force the price mechanism is not allowed to operate."
Regiocentrism,A regional market orientation with world market strategies.
Regression analysis,The selection of an independent variable which accounts for the most variance in a dependent variable.
Retailer,"A channel institution which acts as an intermediary between other channel institutions and the end user and who usually breaks bulk, charging a margin for its services."
Revaluation,The increase in the value of one currency vis a vis other currencies.
Search,The collection of relevant information by deliberate searching either formally or informally.
Secondary data,Published accessible data from a variety of sources.
Self reference criterion,Perceptual distortion brought about by an individual's own cultural experience.
Skimming price,The charging of a high price in order to gain maximum revenue conducted under conditions of product uniqueness and inelastic demand patterns.
Sourcing,"A decision to have certain components in the value chain manufactured out of the country. Often called the ""make of buy"" decision."
Standardisation,"Same goods or services marketed in either product, distribution or advertising form, unchanged in any country."
Standardised plans,"A uniform planning system applied globally, based on economics of scale and consumer uniformity."
Strategic business unit,"A self contained grouping of organisations, products or technologies which serve an identified market and competes with identified competitors."
Surveillance,The collection of relevant information which crosses an individual's scanning attention field.
Tariff,An instrument of terms of access normally the imposition of a single or multiple excise rate on a imported good.
Terms of access,The conditions imposed by one country which apply to the importation of goods from another country.
The World Bank,"Known also as the International Bank for Reconstruction and Development (IBRD). A bank, with world wide country membership, (United nations) which provides long term capital to and economic development."
Transfer pricing,The price at which goods or services are transferred between one country and another within the same organisation.
Wholesaler,"A channel institution which purchases and sells in bulk from either original suppliers and/or other channel intermediaries, charging a margin for its services."
